neuronName	frequency
AVAL	154
AVAR	150
AVBL	96
AVBR	91
PVCL	79
PVCR	79
DVA	74
AVER	71
AVEL	70
AVDR	67
RIAL	63
RIAR	62
AVDL	58
AIBL	55
RIMR	52
AIBR	51
RIBL	51
HSNR	50
RIBR	49
RIH	48
AVJL	46
AVKL	46
RIGL	44
PVNR	42
AVFL	40
RIML	40
ADEL	39
RMGL	39
AIAL	38
AVJR	38
PVR	38
RIS	38
AIAR	37
RMDL	36
ADER	35
AIZL	35
AIZR	35
PVT	35
AVL	34
DD01	34
DVC	34
PVNL	34
PVPR	34
RMDR	34
VC03	34
AVHL	33
HSNL	33
RIGR	33
AQR	32
ASHR	32
CEPDL	32
OLLR	32
PVPL	32
RMDVR	32
AVFR	31
AVHR	31
CEPDR	31
RICL	31
RIR	31
SMDDR	31
ASER	30
AVG	30
AVKR	30
RMGR	30
ADAL	29
PVQR	29
RMDDL	29
SMDDL	29
ADAR	28
DD02	28
RMDVL	28
SMDVR	28
VD01	28
ADFR	27
ADLL	27
CEPVR	27
FLPL	27
RID	27
VA12	27
VD02	27
ASHL	26
RICR	26
RMDDR	26
VB01	26
VC02	26
FLPR	25
VD05	25
AIYL	24
AVM	24
OLLL	24
SMDVL	24
VA08	24
VD06	24
ADLR	23
AWCR	23
DA03	23
DB03	23
IL1R	23
RIFR	23
RIVR	23
URXR	23
VA09	23
ASEL	22
AWCL	22
BAGL	22
BAGR	22
BDUR	22
CEPVL	22
DA02	22
DA04	22
DD03	22
OLQVL	22
PDEL	22
RMEV	22
VC01	22
VD03	22
AIML	21
AWAR	21
VA02	21
VA03	21
VD04	21
AIYR	20
AUAR	20
IL2L	20
IL2R	20
SAADR	20
SMBDR	20
URXL	20
ALML	19
AWBR	19
DA01	19
OLQVR	19
RIPR	19
SMBDL	19
VB02	19
AIMR	18
AUAL	18
DA09	18
DB01	18
IL1VR	18
LUAL	18
OLQDR	18
PVQL	18
RIPL	18
RMFL	18
VB08	18
AINR	17
ASKL	17
AWBL	17
BDUL	17
DA05	17
IL1DL	17
OLQDL	17
PDER	17
RMER	17
SAADL	17
SAAVL	17
URBR	17
DB04	16
DVB	16
IL1VL	16
ILiL	16
PVM	16
RIVL	16
SAABD	16
SDQR	16
SMBVL	16
VA04	16
VB09	16
ADFL	15
AS01	15
AS03	15
AS05	15
IL2VR	15
LUAR	15
PHAL	15
PHBR	15
PLMR	15
RIFL	15
URYDL	15
URYVL	15
URYVR	15
VA05	15
VD13	15
ASKR	14
DB02	14
IL1DR	14
PHAR	14
PQR	14
RMHR	14
SAAVR	14
SDQL	14
SMBVR	14
URBL	14
VA11	14
VB06	14
VB10	14
VC05	14
AINL	13
AS02	13
ASGR	13
DA08	13
IL2VL	13
PHCL	13
RMEL	13
AFDR	12
AS06	12
ASIL	12
AWAL	12
DA06	12
DD04	12
SABVL	12
URYDR	12
VA06	12
VB04	12
AS04	11
ASIR	11
DD05	11
PHBL	11
PHCR	11
RMED	11
RMFR	11
RMHL	11
URADR	11
VC04	11
VD10	11
VD12	11
AFDL	10
AS11	10
ASGL	10
DD06	10
PVWL	10
SIBVL	10
URADL	10
VA01	10
VB03	10
VB05	10
VB11	10
ALA	9
AS09	9
DB05	9
DB06	9
DB07	9
IL2DL	9
IL2DR	9
PDA	9
PVDR	9
SABVR	9
SIBVR	9
URAVR	9
VA07	9
ALMR	8
ALNR	8
AS07	8
AS10	8
ASJL	8
ASJR	8
PVDL	8
PVWR	8
URAVL	8
VD07	8
VD09	8
ALNL	7
SIAVL	7
SIBDR	7
VB07	7
VD08	7
VD11	7
PDB	6
SIAVR	6
AS08	5
PLNL	5
SIADL	5
SIADR	5
VA10	5
PLML	4
DA07	3
PLNR	3
SIBDL	3
NMJ	0